PN,CFF,NOMECLATURA,UN,PRICE UNIT(U$),Retorno da busca,Comparação preço
57A0304,24692,"BOLT,INTERNAL WRENCHING",EA,"397,28",Há 3 preços para este item. Preço médio: $49.97.,Preço médio do PubLog é 695.04% mais barato.
M-A4-157,18783,"BRUSH, ELECTRICAL CONTACT",EA,"211,47",Há 2 preços para este item. Preço médio: $33.06.,Preço médio do PubLog é 539.66% mais barato.
422201E594Z,14242,"CLAMP,LOOP",EA,"459,66",Há 3 preços para este item. Preço médio: $243.72.,Preço médio do PubLog é 88.6% mais barato.
MS21916W5-4,81343,"REDUCER,TUBE",EA,"158,64",Há 5 preços para este item. Preço médio: $49.69.,Preço médio do PubLog é 219.26% mais barato.
MS20470AD5-12,96906,"RIVET,SOLID",EA,"107,78",Há 5 preços para este item. Preço médio: $17.19.,Preço médio do PubLog é 526.99% mais barato.
D2SE-363,53399,TRANSISTOR,EA,"1022,46",Há 4 preços para este item. Preço médio: $198.93.,Preço médio do PubLog é 413.98% mais barato.
MS25231-313,96906,"LAMP,INCANDESCENT, COLORLESS, 0.170 AMPERES, 28 VOLTS",EA,"1,76",Há 6 preços para este item. Preço médio: $0.27.,Preço médio do PubLog é 551.85% mais barato.
AN815-6D,88044,"NIPPLE,BOSS",EA,"16,89",Há 5 preços para este item. Preço médio: $2.9.,Preço médio do PubLog é 482.41% mais barato.
MS20426AD4-6,96906,"RIVET,SOLID",EA,"94,44",Há 6 preços para este item. Preço médio: $20.32.,Preço médio do PubLog é 364.76% mais barato.
MS51957-42,96906,"SCREW,MACHINE",EA,"130,14",Há 6 preços para este item. Preço médio: $17.49.,Preço médio do PubLog é 644.08% mais barato.
109D437X9030T2,5079,"CAPACITOR,FIXED ELCTROLYTIC",EA,"274,17",Part Number/CFF não encontrado.,Não há preço
22607G-01,71483,CORD ASSEMBLY,EA,"140,48",Há 5 preços para este item. Preço médio: $25.52.,Preço médio do PubLog é 450.47% mais barato.
MS20115-2,96906,SHACKLE,EA,"278,02",Há 3 preços para este item. Preço médio: $37.91.,Preço médio do PubLog é 633.37% mais barato.
MS21044N7,96906,"NUT,SELF-LOCKING,HEXAGON",EA,"5,21",Há 6 preços para este item. Preço médio: $1.15.,Preço médio do PubLog é 353.04% mais barato.
MS24693-S247,96906,"SCREW,MACHINE",EA,"3,94",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
110P2-1244-50-08,S4956,"PIN,RETAINING",EA,"377,46",Part Number/CFF não encontrado.,Não há preço
PE25041-027-03,AW25$,PINO,EA,"339,55",Part Number/CFF não encontrado.,Não há preço
11053009,K0068,BREAKING PIN,EA,"324,62",Part Number/CFF não encontrado.,Não há preço
MS27641KP3A-FS464,96906,ROLAMENTO,EA,"236,9",Part Number/CFF não encontrado.,Não há preço
AN216-2-8,88044,BALL,EA,"38,58",Part Number/CFF não encontrado.,Não há preço
65-0121-173,72914,LIGHT IND,EA,"15208,9",Part Number/CFF não encontrado.,Não há preço
B5193-11,17472,TUBE,EA,"343,68",Part Number/CFF não encontrado.,Não há preço
110-502-21-13,S4956,SLEEVE,EA,"181,62",Part Number/CFF não encontrado.,Não há preço
MCS233,K0481,"CABLE ASSEMBLY,COAXIAL",EA,"3750,9",Part Number/CFF não encontrado.,Não há preço
MS25219-13,96906,LIGHT,EA,"811,38",Há 5 preços para este item. Preço médio: $124.43.,Preço médio do PubLog é 552.08% mais barato.
359-0657-110,58257,MATING CONN MS27467T25F35S,EA,"463,14",Part Number/CFF não encontrado.,Não há preço
55-1110-9WE,72914,RUBBER BLADE,EA,"1101,58",Part Number/CFF não encontrado.,Não há preço
MS21902-D5,96906,NIPPLE,EA,"52,09",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
JMS3100F18-19P,96906,"CONNECTOR, RECEPTACLE, ELECTRICAL",EA,"162,67",Part Number/CFF não encontrado.,Não há preço
9560119150,F0228,"STRAP, TIEDOWN, ELECTRICAL COMPONE",EA,"9,29",Há 6 preços para este item. Preço médio: $1.45.,Preço médio do PubLog é 540.69% mais barato.
18191-011,74025,"CELL, BATTERY",EA,"4008,69",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS16624-1066,96906,RING,EA,"42,98",Há 6 preços para este item. Preço médio: $10.55.,Preço médio do PubLog é 307.39% mais barato.
AE18883E,69705,ADAPTER 45,EA,"691,03",Part Number/CFF não encontrado.,Não há preço
BZ1R2441,F1688,INTERRUPETER,EA,"5330,22",Part Number/CFF não encontrado.,Não há preço
B355-54,17472,WASHER,EA,"448,86",Part Number/CFF não encontrado.,Não há preço
B5193-2,17472,TUBE MAIN CARR,EA,"15400,32",Part Number/CFF não encontrado.,Não há preço
B5193-3,17472,TUBE MAIN CARR,EA,"6363,1",Part Number/CFF não encontrado.,Não há preço
B5197,72121,COVER,EA,"2908,01",Part Number/CFF não encontrado.,Não há preço
A9162-5,82152,INSCR TEC,EA,"1897,31",Part Number/CFF não encontrado.,Não há preço
B6607,72121,RACE THRUST,EA,"2969,05",Part Number/CFF não encontrado.,Não há preço
CE2-56,K0481,BOWL,EA,"1153,38",Part Number/CFF não encontrado.,Não há preço
CE2A124,K0481,BELLOWS ASSY,EA,"575,66",Part Number/CFF não encontrado.,Não há preço
C3311-21,17472,COVER BALL,EA,"3016,47",Part Number/CFF não encontrado.,Não há preço
C11MAO121-010,F1881,CASING LOWER,EA,"4752,19",Part Number/CFF não encontrado.,Não há preço
C3311-17,17472,NUT BODY,EA,"21810,01",Part Number/CFF não encontrado.,Não há preço
A9076,20832,WASHER,EA,"22,01",Part Number/CFF não encontrado.,Não há preço
A9135,17472,INSERT SLEEVE,EA,"1794,05",Part Number/CFF não encontrado.,Não há preço
11SM3,91929,SWITCH ASSY,EA,"29,6",Há 5 preços para este item. Preço médio: $4.56.,Preço médio do PubLog é 549.12% mais barato.
MS21916J6-5,81343,REDUCER,EA,"63,37",Há 3 preços para este item. Preço médio: $50.55.,Preço médio do PubLog é 25.36% mais barato.
L22196-30-12BCL,F6198,SCREW,EA,"370,83",Part Number/CFF não encontrado.,Não há preço
SA8460,17472,BEARING,EA,"1378,86",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
99-4684-28,99167,PACKING,EA,"10,82",Há 4 preços para este item. Preço médio: $1.42.,Preço médio do PubLog é 661.97% mais barato.
HL2277-5-7,73197,PIN-COLLAR ASSEMBLY,EA,"46,75",Part Number/CFF não encontrado.,Não há preço
HL2277-6-12,73197,PIN COLLAR,EA,"33,77",Part Number/CFF não encontrado.,Não há preço
HS232-91-016,81982,PACKING,EA,"46,04",Part Number/CFF não encontrado.,Não há preço
NM85,F0214,INTERRUPTEUR,EA,"4373,31",Part Number/CFF não encontrado.,Não há preço
12592,F0189,ARRUELA,EA,"2685,32",Part Number/CFF não encontrado.,Não há preço
SA22052,K0481,HAIRSPRING,EA,"52,59",Part Number/CFF não encontrado.,Não há preço
SA9090,82152,RECEPTACLE,EA,"889,16",Part Number/CFF não encontrado.,Não há preço
SA9125,32255,SCREW,EA,"75,73",Part Number/CFF não encontrado.,Não há preço
12AX70,FB459,"CLAMP,HOSE",EA,"182,14",Part Number/CFF não encontrado.,Não há preço
120-3048-00,22373,ICLM339,EA,"10,27",Part Number/CFF não encontrado.,Não há preço
13038,33252,VALVE,EA,"350,61",Part Number/CFF não encontrado.,Não há preço
133202,73760,ROTOR,EA,"138585,8",Part Number/CFF não encontrado.,Não há preço
16540,F6137,LEVEER,EA,"6944,8",Part Number/CFF não encontrado.,Não há preço
15025A,F0210,SHAFT,EA,"2961,24",Part Number/CFF não encontrado.,Não há preço
15191,F6137,BAGUE,EA,"3553,48",Part Number/CFF não encontrado.,Não há preço
23081-1130,31435,END BELL,EA,"4572,36",Part Number/CFF não encontrado.,Não há preço
3-1958-15,86768,PIVOT ARM,EA,"245,59",Part Number/CFF não encontrado.,Não há preço
25544,19527,BODY,EA,"4630,66",Part Number/CFF não encontrado.,Não há preço
4A-0003-10-08,S4956,CONNECTING PLATE,EA,"5132,81",Part Number/CFF não encontrado.,Não há preço
3240439,73474,SHAFT,EA,"4395,26",Part Number/CFF não encontrado.,Não há preço
3240784-8,73474,SPACER,EA,"355,35",Part Number/CFF não encontrado.,Não há preço
1003,3T949,LEFT FLAT GLASS,EA,"4920,55",Part Number/CFF não encontrado.,Não há preço
A3067-2,24692,"BEARING,SLEEVE",EA,"602,75",Há 2 preços para este item. Preço médio: $142.67.,Preço médio do PubLog é 322.48% mais barato.
800419-00,53655,REGULATOR ASSY,EA,"10902,65",Part Number/CFF não encontrado.,Não há preço
99-4874,99167,SPRING,EA,"145,69",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS24694-S51,80205,PARAFUSO,EA,"6,07",Há 5 preços para este item. Preço médio: $9.71.,Preço médio do PubLog é 59.97% mais caro.
MS3509-28,96906,CONJUNTO LUMIN,EA,"721,05",Há 5 preços para este item. Preço médio: $131.03.,Preço médio do PubLog é 450.29% mais barato.
B6245R303,72914,LIGHT DOME,EA,"19291,12",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
14853,F5309,WASHER,EA,"432,9",Part Number/CFF não encontrado.,Não há preço
14929,F0216,CHEMISE,EA,"789,35",Part Number/CFF não encontrado.,Não há preço
MS25237A-327,96906,"LAMP,INCANDESC",EA,"30,11",Há 6 preços para este item. Preço médio: $6.98.,Preço médio do PubLog é 331.38% mais barato.
15278,S4956,BUCHA,EA,"2001,01",Part Number/CFF não encontrado.,Não há preço
16045,AW25$,TAPERED PIN,EA,"774,26",Part Number/CFF não encontrado.,Não há preço
14629,F0189,PLACA REGULAG,EA,"1152,28",Part Number/CFF não encontrado.,Não há preço
14630,F0189,PIN ASSY,EA,"2238,83",Part Number/CFF não encontrado.,Não há preço
CE2A26,AW25$,LEAD SOCKET,EA,"1627,57",Part Number/CFF não encontrado.,Não há preço
LM412-38,76005,"GASKET,ENGINE",EA,"1702,72",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
178009,16827,OXYGEN MASK TOTE BAG,EA,"2970,83",Part Number/CFF não encontrado.,Não há preço
Z941-65101,98429,SPRING,EA,"244,8",Part Number/CFF não encontrado.,Não há preço
CE2A33,K0481,FILTER,EA,"1582,98",Part Number/CFF não encontrado.,Não há preço
171004,16827,GAUGE PRESSURE,EA,"1438,27",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
632006-22,16827,PACKING,EA,"52,43",Part Number/CFF não encontrado.,Não há preço
M7928/5-3,81343,"SPLICE,CONDUCTOR",EA,"87,57",Há 6 preços para este item. Preço médio: $20.36.,Preço médio do PubLog é 330.11% mais barato.
AN3-4A,1E0F1,"BOLT,MACHINE",EA,"4,4",Há 2 preços para este item. Preço médio: $1.0.,Preço médio do PubLog é 340.0% mais barato.
38198,E834$,RETENTOR,EA,"79,68",Part Number/CFF não encontrado.,Não há preço
LL57G04S5,3038,"SCREW,MACHINE",EA,"73,75",Part Number/CFF não encontrado.,Não há preço
MS24665-283,80205,"PIN,COTTER",EA,"6,94",Há 6 preços para este item. Preço médio: $1.75.,Preço médio do PubLog é 296.57% mais barato.
980677,F6137,"PIN,COTTER",EA,"30,82",Há 6 preços para este item. Preço médio: $4.82.,Preço médio do PubLog é 539.42% mais barato.
M5086-1-22-9,81349,"WIRE,ELECTRICAL, COLOR WHITE, OUTSIDE DIA 0.068 (1/16) IN, 22 AWG, TEMP RATING 105.0 DEG CELSIUS",EA,"1,03",Há 6 preços para este item. Preço médio: $0.15.,Preço médio do PubLog é 586.67% mais barato.
56920,93835,GASKET,EA,"342,2",Apenas um preço foi encontrado para este item. Preço médio: $50.14.,Preço médio do PubLog é 582.49% mais barato.
8060103,93835,"PACKING,PREFORMED",EA,"61,85",Há 3 preços para este item. Preço médio: $9.52.,Preço médio do PubLog é 549.68% mais barato.
AN960-8L,88044,"WASHER,FLAT",EA,"2,86",Há 6 preços para este item. Preço médio: $1.13.,Preço médio do PubLog é 153.1% mais barato.
40348,83298,TRANSISTOR,EA,"86,86",Part Number/CFF não encontrado.,Não há preço
3001-86-450/160C-8M,25693,"SENSING ELEMENT,FIRE DETECTOR SYSTEM",EA,"100914,28",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
2523383,59501,"CAM,CONTROL",EA,"4580,52",Part Number/CFF não encontrado.,Não há preço
AE18915E,69705,SOCKET,EA,"71,07",Part Number/CFF não encontrado.,Não há preço
MS24665-1012,80205,"PIN,COTTER",EA,"8,18",Há 6 preços para este item. Preço médio: $1.08.,Preço médio do PubLog é 657.41% mais barato.
AN501-10-10,96906,"SCREW,MACHINE",EA,"11,84",Part Number/CFF não encontrado.,Não há preço
AN773-4,88044,"ADAPTER,STRAIGHT,TUBE TO HOSE",EA,"45,59",Há 5 preços para este item. Preço médio: $7.27.,Preço médio do PubLog é 527.1% mais barato.
NAS1149F0763P,80205,"WASHER,FLAT",EA,"3,04",Há 5 preços para este item. Preço médio: $5.81.,Preço médio do PubLog é 91.12% mais caro.
334S609,81348,"SCREW,CAP,SOCKET HEAD",EA,"687,32",Part Number/CFF não encontrado.,Não há preço
QQA250/52024T3.050,81348,"SHEET,METAL",EA,"1816,22",Part Number/CFF não encontrado.,Não há preço
7988,K3456,LEVELLING SCREW,EA,"1273,21",Part Number/CFF não encontrado.,Não há preço
D3474-1,24692,BULKHEAD,EA,"12887,29",Part Number/CFF não encontrado.,Não há preço
024-M0099-03,6141,"CABLE ASSEMBLY,SPECIAL PURPOSE,ELECTRICAL",EA,"1231,87",Part Number/CFF não encontrado.,Não há preço
AN3-23A,88044,BOLT MACHINE,EA,"23,69",Há 6 preços para este item. Preço médio: $37.29.,Preço médio do PubLog é 57.41% mais caro.
AN320-4,80205,"NUT,PLAIN,SLOTTED,HEXAGON",EA,"6,22",Há 6 preços para este item. Preço médio: $1.04.,Preço médio do PubLog é 498.08% mais barato.
AN310-4,80205,"NUT,SELF-LOCKI",EA,"5,84",Há 6 preços para este item. Preço médio: $234.08.,Preço médio do PubLog é 3908.22% mais caro.
MS24587-4,96906,"ADAPTER,STRAIGHT,TUBE TO HOSE",EA,"106,92",Há 5 preços para este item. Preço médio: $15.68.,Preço médio do PubLog é 581.89% mais barato.
M6363/2-2,81349,"LAMP,INCANDESCENT",EA,"143,1",Há 6 preços para este item. Preço médio: $26.89.,Preço médio do PubLog é 432.17% mais barato.
AN3-16A,88044,BOLT MACHINE,EA,"17,37",Há 6 preços para este item. Preço médio: $21.45.,Preço médio do PubLog é 23.49% mais caro.
H14-08,15653,"NUT,SELF-LOCKING,PLATE",EA,"4,71",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS21907-4,96906,ELBOW TUBE,EA,"90,41",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
32316-124,F0189,ANEL DE VEDAÇÃO,EA,"56,33",Part Number/CFF não encontrado.,Não há preço
MS24693C227,96906,"SCREW,MACHINE",EA,"38,46",Há 2 preços para este item. Preço médio: $5.11.,Preço médio do PubLog é 652.64% mais barato.
MS20659-141,96906,"TERMINAL, LUG",EA,"132,82",Há 6 preços para este item. Preço médio: $23.62.,Preço médio do PubLog é 462.32% mais barato.
B5213-1,72121,CONJ ROLAMENTO,EA,"51328,07",Part Number/CFF não encontrado.,Não há preço
KSP4A,21760,"BEARING,BALL,AIRFRAME",EA,"137,12",Há 5 preços para este item. Preço médio: $23.29.,Preço médio do PubLog é 488.75% mais barato.
AN5538-2,88044,"TERMINAL,LUG",EA,"451,06",Há 5 preços para este item. Preço médio: $93.92.,Preço médio do PubLog é 380.26% mais barato.
AN173H4A,88044,BOLT,EA,"335,13",Há 5 preços para este item. Preço médio: $66.36.,Preço médio do PubLog é 405.02% mais barato.
AN667-3,88044,TERMINALROPE,EA,"102,26",Há 5 preços para este item. Preço médio: $9.42.,Preço médio do PubLog é 985.56% mais barato.
MS3120P12-8P,96906,"CONNECTOR,RECE",EA,"163,54",Há 2 preços para este item. Preço médio: $23.45.,Preço médio do PubLog é 597.4% mais barato.
S2L-326,8118,"PACKING,PREFORMED",EA,"54,02",Part Number/CFF não encontrado.,Não há preço
MS3367-7-0,81343,"STRAP,TIEDOWN,ELECTRICAL COMPONENTS, COLOR BLACK, WIDTH 3/16 IN, THICK 0.055 IN, LENGTH 10.200 IN",EA,"16,11",Há 6 preços para este item. Preço médio: $2.52.,Preço médio do PubLog é 539.29% mais barato.
AN818-6C,88044,"NUT,TUBE COUPLING",EA,"12,42",Há 6 preços para este item. Preço médio: $1.91.,Preço médio do PubLog é 550.26% mais barato.
05-346561,3CPE0,"SCREW,MACHINE",EA,"16,9",Há 2 preços para este item. Preço médio: $2.79.,Preço médio do PubLog é 505.73% mais barato.
4A-676-21-02,S4956,SUPPORT ADAPTATEUR,EA,"2255,28",Part Number/CFF não encontrado.,Não há preço
MS29528-4,96906,"COCK,POPPET DR",EA,"503,09",Há 6 preços para este item. Preço médio: $1078.15.,Preço médio do PubLog é 114.31% mais caro.
M36X1.5E22306,D8286,"NUT,PLAIN,HEXAGON",EA,"394,83",Part Number/CFF não encontrado.,Não há preço
AN737RM107,88044,"CLAMP,HOSE, INSIDE DIA 2.406 IN MINIMUM AND 3.344 IN, WIDTH 0.500 IN, STEEL CORROSION RESISTING",EA,"5,01",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS75044-1,96906,"WASHER,SPRING TENSION",EA,"15,08",Há 6 preços para este item. Preço médio: $2.89.,Preço médio do PubLog é 421.8% mais barato.
MS35214-28,96906,"SCREW,MACHINE",EA,"92,39",Há 5 preços para este item. Preço médio: $8.26.,Preço médio do PubLog é 1018.52% mais barato.
M83420/1-006,81349,"ROPE,WIRE, DIA 0.188 (3/16) IN, 7 X 19, STEEL OVERALL",EA,"3,87",Há 5 preços para este item. Preço médio: $0.63.,Preço médio do PubLog é 514.29% mais barato.
AS21919WDG18,81343,"CLAMP,LOOP",EA,"7,53",Há 6 preços para este item. Preço médio: $1.24.,Preço médio do PubLog é 507.26% mais barato.
MS21902J4,81343,"NIPPLE,BOSS",EA,"38,14",Há 5 preços para este item. Preço médio: $5.47.,Preço médio do PubLog é 597.26% mais barato.
MS24693-C26,63020,"SCREW,MACHINE",EA,"22,16",Há 6 preços para este item. Preço médio: $3.83.,Preço médio do PubLog é 478.59% mais barato.
AN960D416,88044,"WASHER,FLAT",EA,"118,48",Há 6 preços para este item. Preço médio: $18.54.,Preço médio do PubLog é 539.05% mais barato.
AN310-5,80205,"NUT,PLAIN,CASTELLATED,HEXAGON",EA,"8,72",Há 6 preços para este item. Preço médio: $1.37.,Preço médio do PubLog é 536.5% mais barato.
8774,F6137,"SPACER,SLEEVE",EA,"1925,25",Part Number/CFF não encontrado.,Não há preço
14520A,F0189,SHAFT ASSY,EA,"2109,81",Part Number/CFF não encontrado.,Não há preço
MS27473T16B35S,96906,"CONNECTOR,PLUG,ELECTRICAL",EA,"236,19",Há 5 preços para este item. Preço médio: $34.84.,Preço médio do PubLog é 577.93% mais barato.
AN320-7,80205,NUT,EA,"26,06",Há 6 preços para este item. Preço médio: $63.79.,Preço médio do PubLog é 144.78% mais caro.
875442-00,32345,"NUT,SELF-LOCKING,EXTENDED WASHER,HEXAGON",EA,"2,4",Há 6 preços para este item. Preço médio: $0.36.,Preço médio do PubLog é 566.67% mais barato.
MS20001P4-7200,F6033,LEAF BUTT HING,EA,"506,09",Há 6 preços para este item. Preço médio: $75.08.,Preço médio do PubLog é 574.07% mais barato.
MS21251B3S,96906,TURNBUCKLE BODY,EA,"64,12",Há 5 preços para este item. Preço médio: $6.84.,Preço médio do PubLog é 837.43% mais barato.
23310AA020015L,F0111,"PIN,COTTER",EA,"7,86",Part Number/CFF não encontrado.,Não há preço
H14-7,15653,"NUT,SELF-LOCKING,EXTENDED WASHER,HEXAGON",EA,"19,24",Há 5 preços para este item. Preço médio: $2.07.,Preço médio do PubLog é 829.47% mais barato.
AN515-6-7,88044,"SCREW,MACHINE",EA,"7,04",Há 6 preços para este item. Preço médio: $3.97.,Preço médio do PubLog é 77.33% mais barato.
LM-412-35,76005,SANDWICH MOUNTING ASSEMBLY,EA,"5771,9",Part Number/CFF não encontrado.,Não há preço
H14-8,15653,"NUT,PLAIN,EXTENDED WASHER,HEXAGON",EA,"9,65",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
GE4553,U0625,"LAMP,INCANDESCENT, TRANSPARENT, 250 WATTS, 28 VOLTS,",EA,"47,35",Há 5 preços para este item. Preço médio: $12.46.,Preço médio do PubLog é 280.02% mais barato.
